reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
ME2,b2463,maeB,0,0,0,0,0,0,0,0,0,0,128854519297533000,0,151404060174601000,0,0,0,0,0,0,0,0
MECDPS,b2746,ispF,43959958599975.1,47956318472699.6,67938117836324.6,79927197454499.5,83923557327224.9,115894436309027,123887156054474,139872595545374,155858035036273,159854394908999,159854394908999,159854394908999,187828914018074,187828914018074,195821633763524,199817993636250,199817993636250,219799792999875,239781592363498,259763391727127,259763391727127
MELIBt2pp,b4120,melB,,,,,,,,,,,,,,,,,,,,,
MELIBt3ipp,b1528,sotB,,,,,,,,,,,,,,,,,,,,,
MEOHtrpp,s0001,,,,,,,,,,,,,,,,,,,,,,
MEPCT,b2747,ispD,43959958599975.1,47956318472699.6,67938117836324.6,79927197454499.5,83923557327224.9,115894436309027,123887156054474,139872595545374,155858035036273,159854394908999,159854394908999,159854394908999,187828914018074,187828914018074,195821633763524,199817993636250,199817993636250,219799792999875,239781592363498,259763391727127,259763391727127
METAT,b2942,metK,16524086572950,18026276261400,25537224703650,30043793769000,31545983457450,43563500965050,46567880341950,52576639095750,58585397849550,60087587538000,60087587538000,60087587538000,70602915357150,70602915357150,73607294734050,75109484422500,75109484422500,82620432864750,90131381307000,97642329749250,97642329749250
METOX1s,s0001,,,,,,,,,,,,,,,,,,,,,,
METOX2s,s0001,,,,,,,,,,,,,,,,,,,,,,
METTRS,b2114,metG,,,,,,,,,,,,,,,,,,,,,
MG2tpp,b3816,corA,,,,,,,,,,,,,,,,,,,,,
MG2uabcpp,b4242,mgtA,,,,,,,,,,,,,,,,,,,,,
MGSA,b0963,mgsA,,,,,,,,,,,,,,,,,,,,,
MI1PP,b2533,suhB,,,,,,,,,,,,,,,,,,,,,
MICITDr,b0118,acnB,,,,,,,,,,,,,,,,,,,,,
MLTG1,b0403,malZ,,,,,,,,,,,,,,,,,,,,,
MLTG2,b0403,malZ,,,,,,,,,,,,,,,,,,,,,
MLTG3,b0403,malZ,,,,,,,,,,,,,,,,,,,,,
MLTG4,b0403,malZ,,,,,,,,,,,,,,,,,,,,,
MLTG5,b0403,malZ,,,,,,,,,,,,,,,,,,,,,
MLTP1,b3417,malP,,,,,,,,,,,,,,,,,,,,,
MLTP2,b3417,malP,,,,,,,,,,,,,,,,,,,,,
MLTP3,b3417,malP,,,,,,,,,,,,,,,,,,,,,
MMCD,b2919,scpB,,,,,,,,,,,,,,,,,,,,,
MMETt2pp,b0260,mmuP,,,,,,,,,,,,,,,,,,,,,
MMM,b2917,scpA,,,,,,,,,,,,,,,,,,,,,
