bnumber,Chemostat u=0.21 (1),Chemostat u=0.31 (1),Chemostat u=0.41,Chemostat u=0.22,Chemostat u=0.26,Chemostat u=0.36,Chemostat u=0.46,Chemostat u=0.51
b0674,318.1600803707,349.2146624649,380.9861328932,343.3513107157,332.3733935468,355.7685505688,389.0675592682,387.7145357533
b0675,183.5660659477,184.3031226826,192.0233882038,204.1464982233,197.0586594194,185.9010758769,169.5839210496,175.6817212687
b0676,137.7895633103,,,,,,,40.0518305946
b0677,99.7622030936,92.0135668135,73.2972947972,116.9072678995,,82.3294494941,61.1370434691,52.6478939742
b0678,763.7053740559,694.132610063,528.4416259213,816.1931729003,617.53336813,559.4288958861,400.5356163314,372.2985715763
b0679,703.3616529324,544.4883385711,421.3973961644,722.5539562954,634.8014288134,513.1378077871,345.2012191544,279.2237903637
b0680,939.259032824,1009.5654134317,1121.4623452879,929.507390454,961.1826872666,1062.0721432066,1135.790293412,1136.2572055147
b0683,4190.3790644099,3820.2016434938,3119.8947771021,4276.1149624338,4251.6472964356,3400.0211302744,2846.3572012757,2631.6250062315
b0684,1822.9563931297,1782.9936875055,1666.7526187467,2065.4448204096,1972.1427109429,1919.0189638845,1627.3697191108,1610.4498289825
b0686,154.6445588893,151.0320045638,150.3244577799,166.1402749986,,155.8777163522,126.4156664532,124.1691558926
b0687,566.1511100404,580.5006426103,500.5173274185,587.4379620369,643.1007045052,538.8145494334,552.8425615609,525.0123683858
b0688,1801.6827362714,1665.062360128,1468.4897822852,1754.7787419263,1753.6133499036,1576.0865148296,1415.8631213531,1312.0589773632
b0710,1156.2080307045,1021.4789081316,924.287422372,1157.3172382028,1119.560317732,861.7528546421,843.2018899497,761.274179461
b0712,,,64.1218628888,88.8338968606,,,,
b0720,26490.1089984757,23409.5246312965,19666.5407367485,28160.8852886079,27027.7498401089,20678.1627857401,19024.0991193649,14963.7811276538
b0722,796.5331322131,1310.5284722545,1597.7025801926,1275.6229488605,,2011.9942724603,1964.4714746468,1073.5131308918
